Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Tertiary,Ethics,Moral Law Application,pastoral,A Christian is using their strong view on the application of the moral law today to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_E_MLA_009,adversarial_precision_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,pastoral,A longtime church member tells you privately that they are having serious doubts about spiritual gifts. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_PG_SG_006,pastoral_v2
Primary,Bibliology,Authority,objective,What are the most common contemporary misconceptions or distortions of the authority of Scripture? How would you correct each one from Scripture and historic Christian teaching?,P_B_A_003,objective_v2
Primary,Christology,Humanity of Christ,objective,Explain the primary biblical basis for the humanity of Christ and its key implications for Christian belief and practice.,P_C_HOC_004,objective_v2
Primary,Theology Proper,Decrees of God,objective,Describe the historic confessional understanding of the decrees of God as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_TP_DOG_006,objective_v2
Primary,Prolegomena,Revelation (General & Special),objective,What is the core teaching of historic Christianity regarding general and special revelation? Provide examples from Scripture and major confessional documents.,P_P_RGS_005,objective_v2
Primary,Bibliology,Authority,pastoral,"In a Bible study, someone asks how the authority of Scripture should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_B_A_011,pastoral_v2
Primary,Christology,Deity of Christ,objective,In what ways can a misunderstanding of the deity of Christ lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_C_DOC_005,objective_v2
Primary,Soteriology,Regeneration & Union with Christ,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about regeneration and union with Christ in light of their pain. How do you respond?",P_S_RUW_009,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,objective,What is the core teaching of historic Christianity regarding the distinction of persons in the Trinity? Provide examples from Scripture and major confessional documents.,P_T_DOP_003,objective_v2
Primary,Theology Proper,Decrees of God,objective,What are the most common contemporary misconceptions or distortions of the decrees of God? How would you correct each one from Scripture and historic Christian teaching?,P_TP_DOG_005,objective_v2
Tertiary,Covenantology,Old vs. New Covenant,objective,"How should a clear understanding of the relationship between the old and new covenants inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_C_OVN_001,objective_v2
Primary,Hamartiology,Origin of Sin,objective,Why is the origin of sin considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_H_OOS_003,objective_v2
Secondary,Ecclesiology,Nature & Marks of the Church,objective,What are the central distinctions or nuances that must be maintained when teaching the nature and marks of the true church in order to remain faithful to historic orthodoxy?,S_E_NMO_004,objective_v2
Primary,Hamartiology,Nature of Sin,objective,"How does the nature of sin fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_H_NOS_006,objective_v2
Secondary,Eucharist,Presence of Christ,pastoral,Two mature Christians in your church hold different but orthodox views on the presence of Christ in the Lord's Supper. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_E_POC_013,adversarial_precision_v2
Primary,Theology Proper,Decrees of God,pastoral,"In a Bible study, someone asks how the decrees of God should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_TP_DOG_011,pastoral_v2
Primary,Christology,Humanity of Christ,pastoral,How would a misunderstanding of the humanity of Christ affect a believer's assurance or approach to suffering?,P_C_HOC_015,coherence_application_v2
Primary,Prolegomena,Nature of Theology,objective,What are the most important scriptural passages supporting the nature of theology? How should this doctrine shape the everyday life of a believer?,P_P_NOT_002,objective_v2
Primary,Soteriology,Regeneration & Union with Christ,objective,What are the most common contemporary misconceptions or distortions of regeneration and union with Christ? How would you correct each one from Scripture and historic Christian teaching?,P_S_RUW_006,objective_v2
Secondary,Baptism,Subjects of Baptism,pastoral,A new Christian has been reading popular books that treat the proper subjects (recipients) of baptism as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_B_SOB_010,pastoral_v2
Tertiary,Eschatology,Timing of Christ's Return,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the timing of Christ's return matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_E_TOC_007,pastoral_v2
Primary,Soteriology,Atonement,objective,Describe the historic confessional understanding of the atonement as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_S_A_002,objective_v2
Primary,Trinitarianism,Unity of Essence,objective,Explain the primary biblical basis for the unity of essence in the Trinity and its key implications for Christian belief and practice.,P_T_UOE_007,objective_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,objective,"How should a clear understanding of the continuation or cessation of spiritual gifts inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",S_PG_CVC_003,objective_v2
Primary,Theology Proper,Decrees of God,objective,What are the central distinctions or nuances that must be maintained when teaching the decrees of God in order to remain faithful to historic orthodoxy?,P_TP_DOG_001,objective_v2
Primary,Soteriology,Justification by Faith,objective,"In a discussion, a participant says that historic formulations of justification by faith alone are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_S_JBF_015,adversarial_precision_v2
